Name,Instrument,Orchestra,Joined,Education,Teachers
"Jimin Lim (Violin, Dallas Symphony Orchestra)",violin,Dallas Symphony Orchestra,2023,"Korea National University of Arts, Indiana University","Nam-Yun Kim, Alexander Kerr, Victor Danchenko, Daniel Hope, Hyo Kang, Krzysztof Wegrzyn, Kohichiro Harada, Kurt Sassmannshaus, Regis Pasquier, Joshua Bell, James Dunham, Jorja Fleezanis, Sylvia Rosenberg, Donald Weilerstein, Robert Lipsett, Bing Wang"
"Jimin Lim (Violin, Nashville Symphony)",violin,Nashville Symphony,,,
Jin Suk Yu,violin,New York Philharmonic,2015,"Interlochen Arts Academy, The Juilliard School","Naoko Tanaka, Joseph Lin"
Jin-Shan Dai,violin,Los Angeles Philharmonic,2010,China Conservatory of Music,"Julia Bushkova, Eugene Drucker, Philip Setzer, Ani Kavafian, Peter Oundjian, Paul Kantor, Kathleen Winkler"
Jing Qiao,violin,National Symphony Orchestra,2018,"Oberlin Conservatory, Northwestern University, Aspen Music School And Festival","Milan Vitek, Almita Vamos, Sylvia Rosenberg, Per Enoksson, Amy Oshiro"
Jing Zhang,violin,Detroit Symphony Orchestra,2013,"Shanghai Conservatory of Music, New England Conservatory of Music",Donald Weilerstein
Jing Zheng,violin,Houston Symphony,2015,"Rice University, San Francisco Conservatory of Music","Kathleen Winkler, Ian Swensen, William van der Sloot, Lin Yao Ji, Jaime Laredo"
Jinwoo Lee,violin,Milwaukee Symphony,2023,"Humboldt Grammar School, The Juilliard School, Manhattan School of Music","Stephen Clapp, Donald Weilerstein, Robert Mann, Nicholas Mann, Michael Davis, Maria Giesy, Christiane Hutcap, Hyo Kang, Jongsuk Li, Igor Ozim, Jaegwang Song, Viktor Tretjakov, Pierre Amoyal, Bruno Canino, Pamela Frank, Miriam Fried, Leonidas Kavakos, Masao Kawasaki, Herman Krebbers, Cho-Liang Lin, Martin Lovett, Yfrah Neaman, Sylvia Rosenberg"
Jinyou Lee,violin,Kansas City Symphony,2023,"Haute école de musique de Lausanne, Yale University, University of Illinois","Gyula Stuller, Syoko Aki, Stefan Milenkovich, Robert Rozek"
JoAnna Farrer,violin,New Jersey Symphony,,"The Juilliard School, Manhattan School of Music, Perlman Music Program, National Arts Centre Young Artist Programme","Itzhak Perlman, Patinka Kopec, Pinchas Zukerman, Glenn Dicterow"
Joan DerHovsepian,viola,Houston Symphony,2023,"Eastman School of Music, Hochschule für Musik Freiburg","James Dunham, Kim Kashkashian"
Joan Ely Carlson,violin,Austin Symphony Orchestra,,,
Joanna Patterson Zakany,viola,The Cleveland Orchestra,2008,"Duke University, Cleveland State University, Kent State University",
Joanne Opgenorth,violin,Minnesota Orchestra,2002,"University of British Columbia, The Juilliard School, Vancouver Academy of Music, Rutgers University Newark","Yasuko Tanaka Eastman, Jack Krajicek, Ranald Shean, John Loban, Lorand Fenyves, Joseph Fuchs, Paul Zukofsky, Arnold Steinhardt, David Zafer, Michel Schwalbe, Jean Fournier, Jaap Scroder, Ruggiero Ricci"
Joanne Pearce Martin,"piano, theremin",Los Angeles Philharmonic,2001,Curtis Institute of Music,
Joanne Wojtowicz,viola,Cincinnati Symphony Orchestra,2008,"McGill University Schulich School of Music, Rice University",
Joe Assi,french horn,Dallas Symphony Orchestra,,"Curtis Institute of Music, The Juilliard School","Jerome Ashby, Jennifer Montone, Julie Landsman"
Joe Joyner,viola,Arkansas Symphony,2007,"University of Houston, Violin Making School Of America, Lisle Violin Shop","Lawrence Wheeler, Rita Porfiris, Karen Ritscher, Karen Tuttle, Emmanuel Vardi"
Joe LeFevre,tuba,Kansas City Symphony,2018,Michigan State University,"Phil Sinder, Gene Pokorny, Mike Roylance, Dennis Nulty, Deanna Swoboda, Jacob Cameron, Bill Short"
Joel Dallow,cello,Atlanta Symphony Orchestra,1999,Peabody Conservatory,"Stephen Kates, Orlando Cole, William Stokking, Myron Lutzke, David Geber, Crispin Campbell"
Joel Fuller,violin,National Symphony Orchestra,2009,"University Of Wisconsin At Madison, University of Michigan","Vartan Manoogian, Paul Kantor"
Joel Gibbs,viola,Utah Symphony,2011,"Northwestern University, University Of Wisconsin Milwaukee","Lewis Rosove, Myron Kartman, Yuan-Qing Yu"
Joel Reist,double bass,Nashville Symphony,1998,,
Joen Vasquez,viola,Pittsburgh Symphony,1985,"The Juilliard School, Academia Chigianna","Margaret Pardee, Bruno Giuranna"
Johanna Yarbrough,french horn,Detroit Symphony Orchestra,2012,"Colburn School, University Of Alabama, Norwegian Academy of Music","Frøydis Ree Wekre, David Krehbiel, Andrew Bain, Charles ""Skip"" Snead, Michelle Stebleton"
"John Bian (Violin, Milwaukee Symphony)",violin,Milwaukee Symphony,,"Boston University, Cleveland Institute of Music, University of Michigan","Yuri Mazurkevich, William Preucil, David Halen, Yoonshin Song"
"John Bian (Violin, The Philadelphia Orchestra)",violin,The Philadelphia Orchestra,2024,"Boston University, Cleveland Institute of Music, University of Michigan","Yuri Mazurkevich, William Preucil, David Halen, Yoonshin Song"
John Bruce Yeh,clarinet,Chicago Symphony Orchestra,1977,,
John Chisholm,violin,San Francisco Symphony,2002,"Eastman School of Music, Danish National Academy of Music","Zvi Zeitlin, Sylvia Rosenberg, Isidor Lateiner"
John Clouser,bassoon,The Cleveland Orchestra,1997,"Gordon College, New Jersey City University, Temple University, McGill University Schulich School of Music, Rhodes College, Haverford College",Bernard Garfield
John Connelly,violin,New Jersey Symphony,1979,"New England Conservatory of Music, Suny Stony Brook","Paul Zukofsky, Rudolph Kolisch"
John Demick,stage manager,Boston Symphony Orchestra,2003,"""St. JosephS Central High School"", Boston University",
John DiCesare,tuba,Seattle Symphony,,"Duquesne University, Kent State University, West Virginia University","Craig Knox, Tom Lukowicz, John Bottomley"
John Eadie,cello,Kansas City Symphony,2010,"Butler University, Bard College Conservatory of Music","William Grubb, Yehuda Hanani, Michael Tilson Thomas"
John Ebert,sound engineer,Rochester Philharmonic Orchestra,,,
John Eckstein,cello,Utah Symphony,1990,"Interlochen Arts Academy, Eastman School of Music, Northern Illinois University","Raya Garbousova, Steven Doane, Ralph Kishbaum, Richard Kapuschinski, Dennis Brott"
John F. Lee,cello,New York Philharmonic,2024,"Harvard University, New England Conservatory of Music, Curtis Institute of Music","Laurence Lesser, Peter Wiley, Gary Hoffman, Carter Brey"
John Ferrillo,oboe,Boston Symphony Orchestra,2001,"Curtis Institute of Music, Illinois State University, West Virginia University, Mannes College of Music, The Juilliard School, New England Conservatory of Music, Boston University, Boston University Tanglewood Institute","John de Lancie, John Mack"
John Hagstrom,trumpet,Chicago Symphony Orchestra,1996,Eastman School of Music,
John Hayhurst,viola,Los Angeles Philharmonic,1984,"University of Southern California, Cleveland Institute of Music",Robert Vernon
John Hilton,violin,Colorado Symphony,2011,"Lawrence Conservatory of Music, Lawrence University, University of Colorado Boulder","James Maurer, Anne Shih, Georgios Demertzis, Ed Dusinberre"
John Kincaid,double bass,Colorado Symphony,1976,"Carleton University, Northwestern University","James Clute, Cliff Biggs, Warren Benfield"
John Kinzie,percussion,Colorado Symphony,1985,"University Of Toledo, Cleveland Institute of Music, Lamont School Of Music At The University Of Denver","Robert Bell, Richard Weiner, Paul Yancich"
John Klinghammer,"bass clarinet, clarinet",Kansas City Symphony,2017,"University of Oregon, University of Southern California","Cindi Bartels, Dr. Wayne Bennett, Michael Anderson, Ted Oien, Mitchell Lurie, Michele Zukovsky, Yehuda Gilad"
John Koen,cello,The Philadelphia Orchestra,1990,"Curtis Institute of Music, Mannes College of Music, New Jersey City University","David Soyer, Peter Wiley, Orlando Cole"
John Locke,percussion,Baltimore Symphony Orchestra,,"Peabody Conservatory, Goucher College, The Baltimore School For The Arts","Tony DeNicola, John Soroka"
John Lofton,bass trombone,Los Angeles Philharmonic,2008,Oberlin Conservatory,
John Meisner,violin,Atlanta Symphony Orchestra,2000,"Indiana University, State University Of New York At Stony Brook","James Buswell, Josef Gingold, Joyce Robbins"
John Moore,double bass,Pittsburgh Symphony,1996,"Curtis Institute of Music, New England Conservatory of Music","Roger Scott, Lawrence Wolfe"
John Parker,trumpet,Houston Symphony,2016,"University Of North Carolina At Chapel Hill, Aspen Music Festival And School",
John Sharp,cello,Chicago Symphony Orchestra,,"The Juilliard School, Roosevelt University","Lev Aronson, Lynn Harrell"
John Sipher,trombone,Colorado Symphony,2015,"James Madison University, Yale University",
John Sullivan,violin,Rochester Philharmonic Orchestra,1979,Cleveland Institute of Music,"Charles Avsharian, Julius Stulberg, David Cerone, Bernhard Goldschmidt, John Celentano"
John T. Posadas,viola,Utah Symphony,2020,University of South Florida,
John Thevenet,bass trombone,Milwaukee Symphony,2011,"J. J. Pearce High School, Indiana University","Edwin Anderson, Keith Brown, M. Dee Stewart, James DeSano, Mark Lawrence, Milton Stevens, David Finlayson, Charles Vernon, David Kirk"
John Turman,french horn,Seattle Symphony,2015,Rice University,William VerMeulen
John Weller,violin,Seattle Symphony,,,
Johna Smith,violin,Nashville Symphony,2019,"Blair School of Music, Indiana University","Alexander Kerr, Jorja Fleezanis, Cornelia Heard, Brenda Brenner"
Johnny Lee,violin,Los Angeles Philharmonic,2005,"Cleveland Institute of Music, Harvard University",
Jolyon Pegis,cello,Dallas Symphony Orchestra,,"Indiana University, University of Hartford Hartt School","Alan Harris, Gary Hoffman, David Wells"
Jon Crabielis,"percussion, timpani",Indianapolis Symphony Orchestra,2000,,
Jon Greeney,"percussion, timpani",Oregon Symphony,2010,"Peabody Conservatory, Cleveland State University","Robert van Sice, Jonathan Haas, Tom Freer"
Jon Gustely,french horn,Louisville Orchestra,2007,,
Jonah Ellsworth,cello,Boston Symphony Orchestra,2023,"New England Conservatory of Music, Yale University","Laurence Lesser, Kim Kashkashian, Lluís Claret, Natasha Brofsky, Andrew Mark, Peter Wiley, Paul Watkins"
Jonah Krolik,cello,Indianapolis Symphony Orchestra,2022,"Eastman School of Music, University Of Rochester, The Juilliard School","Steven Doane, Natasha Brofsky, Takács Quartet, Juilliard Quartet, Tokyo String Quartet"
Jonathan Beiler,violin,The Philadelphia Orchestra,1976,"Friends Select School, Yale University, Indiana University","Louis Gesensway, Josef Gingold"
Jonathan Blumenfeld,oboe,The Philadelphia Orchestra,1986,"Haverford College, Curtis Institute of Music, Temple University","John de Lancie, Richard Woodhams"
Jonathan Burnstien,double bass,Seattle Symphony,,,
Jonathan Carney,violin,Baltimore Symphony Orchestra,1991,"The Juilliard School, Royal Northern College of Music","Ivan Galamian, Christine Dethier"
Jonathan Chu,viola,St. Louis Symphony Orchestra,2014,"Vanderbilt University, The Juilliard School, Saint Louis University (Law)","Robert Mann, Marianne Pashler"
Jonathan Dubay,violin,Oregon Symphony,1992,"Yale University, Eastman School of Music, The Juilliard School","Michael Foxman, Carol Sindell, Charles Castleman, Syoko Aki, Sylvia Rosenberg, Donald Weilerstein, Burton Kaplan, Abram Loft, Raphael Hillyer, Earl Carlyss"
Jonathan Fischer,oboe,Houston Symphony,2012,"Curtis Institute of Music, ""University Of HoustonS Moores School Of Music""",Richard Woodhams
Jonathan Gentry,oboe,Atlanta Symphony Orchestra,2023,"New England Conservatory of Music, The Juilliard School","John Ferrillo, Nathan Hughes, Elaine Douvas, Erin Hannigan, Linda Strommen, Anne Marie Gabriele, Scott Hostetler"
Jonathan Jensen,"piano, double bass, panpipes, keyboard, percussion, psaltery, banjo, tabor pipe, ocarina, flute, tin whistle, mandola, mandolin, bamboo clarinet",Baltimore Symphony Orchestra,,,
Jonathan Karoly,cello,Los Angeles Philharmonic,1997,University of Southern California,Ronald Leonard
Jonathan Karschney,french horn,Seattle Symphony,2010,"Garfield High School, Manhattan School of Music","Erik Ralske, Al Spanjer"
Jonathan Lombardo,trombone,Buffalo Philharmonic Orchestra,2005,"Interlochen Arts Academy, The Juilliard School, University At Buffalo","Joseph Alessi, Per Brevig"
Jonathan Magness,violin,Minnesota Orchestra,2008,"University of Minnesota, The Juilliard School, Universität für Musik und darstellende Kunst Graz","Sally O’Reilly, Yair Kless"
Jonathan Mueller,viola,Louisville Orchestra,2006,"Rice University, Indiana University","James Dunham, Alan DeVeritch"
Jonathan Randazzo,trombone,St. Louis Symphony Orchestra,2023,"New England Conservatory of Music, University of North Carolina School of the Arts","Norman Bolter, James Markey, Joseph Alessi, Willard Sprague"
Jonathan Reycraft,trombone,St. Louis Symphony Orchestra,2006,"Indiana University, University of Maryland","Michael Canipe, M. Dee Stewart, Scott Hartman, Dr. Milton Stevens, John Huling"
Jonathan Ring,french horn,San Francisco Symphony,1991,Northwestern University,"Dale Clevenger, Robert Fries, Jerry Peel"
Jonathan Rouse,double bass,Austin Symphony Orchestra,2016,"The Juilliard School, Manhattan School of Music, University of South Carolina",
Jonathan Sherwin,bassoon,The Cleveland Orchestra,1997,"Eastman School of Music, Northwestern University","K. David Van Hoesen, Willard Elliot, Burl Lane, Bradford Buckley"
Jonathan Spitz,cello,New Jersey Symphony,1991,"Curtis Institute of Music, Mason Gross School Of The Arts At Rutgers University",David Soyer
Jonathan Storck,double bass,New Jersey Symphony,,Boston University,Larry Wolfe
Jonathan Vinocour,viola,San Francisco Symphony,2009,"Princeton University, New England Conservatory of Music",Kim Kashkashian
Jonathan Wisner,percussion,Seattle Symphony,2023,"University of Miami Frost School of Music, University of Southern California, Colburn School","Joseph Pereira, James Babor, Matt Howard, Matthew Strauss, Svet Stoyanov, Ted Atkatz"
Joo Kim,violin,St. Louis Symphony Orchestra,2004,"New World School Of The Arts, The Juilliard School","Dorothy Delay, Naoko Tanaka, Todd Phillips, Felicia Moye, Ivan Chan"
Joon Park,trumpet,Kansas City Symphony,2024,"University Of Missouri–Kansas City, Michigan State University, McGill University Schulich School of Music","Dr. Keith Benjamin, Justin Emerich, Christopher Smith, Andrew Dunn"
Jordan Anderson,double bass,Seattle Symphony,2000,Curtis Institute of Music,Harold Robinson
Jordan Koransky,violin,Los Angeles Philharmonic,2019,"Usc Thornton School Of Music, Rice University","Alice Schoenfeld, Paul Kantor"
Jordan Milek Johnson,trombone,Atlanta Symphony Orchestra,,Schwob School Of Music At Columbus State University,"Hollie Pritchard, Dr. Bradley Palmer"
Jordan Musgrave,violin,Arkansas Symphony,2019,"Baylor University, University of Memphis","Janet Sung, Elena Urioste, Midori"
Jory Herman,double bass,Los Angeles Philharmonic,2017,Rice University,
Joseph Adam,organ,Seattle Symphony,,"University of Iowa, Eastman School of Music",
Joseph Alessi,trombone,New York Philharmonic,1985,Curtis Institute of Music,"Joseph Alessi, Sr."
Joseph Aumann,trombone,Indianapolis Symphony Orchestra,2022,"The University Of Wisconsin Eau Claire, Northwestern University, Indiana University",
Joseph Becker,percussion,Detroit Symphony Orchestra,2012,"New England Conservatory of Music, Boston University","Frank Epstein, Will Hudgins, Tim Genis"
Joseph Berger,french horn,Oregon Symphony,,,
Joseph Bricker,"percussion, timpani",Cincinnati Symphony Orchestra,2022,"The Juilliard School, DePaul University",
Joseph Campagna,double bass,Pittsburgh Symphony,2016,"Temple University, Curtis Institute of Music","John Hood, Harold Robinson, Edgar Meyer"
Joseph Connell,"percussion, timpani",National Symphony Orchestra,,"""The George Washington UniversityS Corcoran School Of The Arts""",
Joseph D. Smith,violin,Austin Symphony Orchestra,,Butler University,"Andrew Litton, JoAnn Falletta, Andres Cardenes, members of the Miro Quartet"
Joseph Evans,violin,Utah Symphony,1996,"University of Utah, Manhattan School of Music","Miriam Schneider, Mikhail Boguslavsky, Arianna Bronne"
Joseph H. Conyers,double bass,The Philadelphia Orchestra,2010,"Curtis Institute of Music, The Juilliard School","Harold Robinson, Edgar Meyer"
Joseph Hearne,double bass,Boston Symphony Orchestra,1962,The Juilliard School,Stuart Sankey
Joseph Kaufman,double bass,Seattle Symphony,,"University of Utah, University of North Texas College of Music","David Yavornitzky, Jeff Bradetich"
Joseph McFadden,double bass,Atlanta Symphony Orchestra,2011,"California State University, Northridge, Indiana University, Aspen Music Festival And School","Oscar Meza, Bruce Bransby, Chris Hanulik"
Joseph Morris,clarinet,Cincinnati Symphony Orchestra,2020,"University of Southern California, Colburn School",
Joseph Nunez,double bass,Kansas City Symphony,,"University of North Texas College of Music, Colburn School, Rice University","Jeffrey Bradetich, Peter Lloyd"
Joseph Pereira,"percussion, timpani",Los Angeles Philharmonic,2007,,
Joseph Petrasek,percussion,Atlanta Symphony Orchestra,2017,"University of California, Los Angeles, Temple University, University of Miami Frost School of Music","Mitchell Peters, Alan Abel, Angela Zator-Nelson"
Joseph Rodriguez,trombone,Cincinnati Symphony Orchestra,2015,"The University Of Texas At Arlington, DePaul University, The Juilliard School",
Josh Baker,bassoon,Boston Symphony Orchestra,2024,"New England Conservatory of Music, Rice University","Richard Ranti, Richard Svoboda, Benjamin Kamins"
Josh Hickman,timpani,Nashville Symphony,2015,,"Ben Ramirez, Robert Breithaupt, Jauvon Gilliam, Tony Ames"
Josh Newburger,viola,Rochester Philharmonic Orchestra,,"New England Conservatory of Music, Yale University, Eastman School of Music","Nicholas Kitchen, Michael Klotz, Ettore Causa"
Joshua Carr,trumpet,Pittsburgh Symphony,,"San Francisco Conservatory of Music, Towson University",
Joshua Elmore,bassoon,San Francisco Symphony,2018,"The Juilliard School, Colburn School","Itzhak Perlman, Robert McDonald"
Joshua Lauretig,oboe,Buffalo Philharmonic Orchestra,,Curtis Institute of Music,"Richard Woodhams, Danna Sundet, Olav van Hezewijk, Keisuke Wakao"
Joshua Luty,bassoon,Atlanta Symphony Orchestra,2023,"Lynn University, University of Michigan",
Joshua Smith,flute,The Cleveland Orchestra,1990,Curtis Institute of Music,"Frank Bowen, Julius Baker, Jeffrey Khaner"
Joshua Williams,tuba,Atlanta Symphony Orchestra,2023,The Juilliard School,"Alan Baer, Michael Moore, Joseph Alessi"
Joyce Noh,violin,Chicago Symphony Orchestra,1979,"Mannes College of Music, University Of Michigan–Ann Arbor, The Juilliard School","Jascha Brodsky, Ivan Galamian, Felix Galimir, Robert Mann, mother"
Ju Hyung Shin,violin,Utah Symphony,,,
Ju-Fang Liu,double bass,Indianapolis Symphony Orchestra,2003,"Interlochen Arts Academy, Indiana University, DePauw University, Indiana University, Butler University","Bruce Bransby, Lawrence Hurst, Edwin Barker, Edgar Meyer, Harold Robinson, Stuart Stankey, Lawrence Wolf, Tim Cobb"
Juan Esteban Martinez,clarinet,New Jersey Symphony,2023,"Yale University, Peabody Conservatory","David Shifrin, Anthony McGill"
Juan de Gomar,bassoon,Atlanta Symphony Orchestra,2001,"Wayne State University, Temple University","Bernard Garfield, Robert Williams, Leonard Sharrow"
Jude Park,viola,Minnesota Orchestra,2022,"Rice University, Oberlin Conservatory","Ivo-Jan van der Werff, Joan DerHovsepian, David Bowlin, Peter Slowik, Kirsten Docter"
Judith Cox,violin,Atlanta Symphony Orchestra,1994,Indiana University,"Constantin Kiradjieff, Sally Thomas, Ivan Galamian, Franco Gulli"
Judith LeClair,bassoon,New York Philharmonic,1981,"Eastman School of Music, Settlement Music School","K. David Van Hoesen, Shirley Curtiss"
Judith McIntyre Galecki,cello,Colorado Symphony,2003,"University of Toronto, Faculty of Music, Manhattan School of Music","Daniel Domb, Alan Stepansky, Janos Starker, Tsuyoshi Tsutsumi, Yuri Turovsky"
Judy Dines,flute,Houston Symphony,1992,"Temple University, Peabody Conservatory",
Judy Sullivan Hicks,harp,Alabama Symphony Orchestra,1981,"Eastman School of Music, Cleveland Institute of Music, Interlochen Arts Academy","Eileen Malone, Pearl Chertok"
Jules Corcimiglia,sound engineer,Rochester Philharmonic Orchestra,,,
Julia Coronelli,harp,Milwaukee Symphony,,"DePaul University, The Juilliard School, Chicago College Of Performing Arts, ""Uptown Academy Of The PeopleS Music School""","Sarah Bullen, Nancy Allen"
Julia Harguindey,bassoon,Nashville Symphony,2016,,
Julia Li,violin,The Philadelphia Orchestra,2014,"China Conservatory of Music, Curtis Institute of Music, The Juilliard School","Shengyin Huang, Bingsun Yang, Kenneth Goldsmith, Pamela Frank, Arnold Steinhardt, Shmuel Ashkenasi, Ronald Copes"
Julia Noone,violin,Louisville Orchestra,,"New England Conservatory of Music, New World Symphony",Masuko Ushioda
Julia Paine,bassoon,St. Louis Symphony Orchestra,2022,"University of Miami Frost School of Music, Rice University","Ben Kamins, Gabriel Beavers"
Julia Pilant,french horn,Utah Symphony,,,
Julian Gonzalez,bassoon,New York Philharmonic,2023,"The Juilliard School, New World School Of The Arts","Judith LeClair, Dr. Carlos Felipe Viña"
Julian Kaplan,trumpet,Kansas City Symphony,2013,"University Of Kentucky, Centre College, University of North Florida","Michael Miller, Mark Clodfelter, Vince DiMartino"
Julian Pranata,viola,Arkansas Symphony,2002,"Oberlin Conservatory, University of Missouri School of Music, University of Memphis, Neighborhood Music School",Grace Feldman
Julian Wilkison,viola,Cincinnati Symphony Orchestra,1988,"Duke University, Eastman School of Music",
Juliana Athayde,violin,Rochester Philharmonic Orchestra,2005,"University of Michigan, Cleveland Institute of Music, Aspen Music Festival And School","Paul Kantor, William Preucil, Joseph Silverstein, Dorothy DeLay"
Julianna Darby,clarinet,Atlanta Symphony Orchestra,2023,"Eastman School of Music, Vanderbilt University","Michael Wayne, Bil Jackson"
Julianne Lee,"viola, violin",Boston Symphony Orchestra,2006,"Conservatoire national supérieur de musique et de danse de Paris (CNSMDP), Curtis Institute of Music, New England Conservatory of Music",
Julianne Mulvey,bassoon,Minnesota Orchestra,2023,Rice University,"Benjamin Kamins, Richard Svoboda, Neil Fairbairn"
Julianne Webner,oboe,Austin Symphony Orchestra,2016,Manhattan School of Music,"Liang Wang, Robert Botti, Joseph Robinson"
Julie Beckel,french horn,Indianapolis Symphony Orchestra,2006,University of Cincinnati College-Conservatory of Music,"Randy Gardner, Jerry Montgomery, Rick Graef, Kent Leslie, James Beckel"
Julie Coleman,violin,Oregon Symphony,,"The Juilliard School, Meadowmount School Of Music, Aspen Music Festival And School","Raphael Spiro, Leopold Auer"
Julie Edwards,viola,Utah Symphony,,Indiana University,Atar Arad
Julie Gramolini Williams,oboe,Minnesota Orchestra,2007,"Oberlin Conservatory, Rice University","James Caldwell, Robert Atherholt, Mark Ackerman"
Julie Green Gregorian,bassoon,Baltimore Symphony Orchestra,,"Ithaca College School of Music, Theatre, and Dance, Temple University","Edward Gobrecht Jr., Bernard Garfield"
Julie Spangler,piano,Cincinnati Symphony Orchestra,1991,Indiana University,
Julie Thayer,french horn,St. Louis Symphony Orchestra,2014,"Eastman School of Music, Rice University","Peter Kurau, William Ver Meulen"
Julie Thornton,"piccolo, flute",Colorado Symphony,1997,"Northwestern University, Eastman School of Music, Rice University, University Of Denver, Lamont School Of Music","Walfrid Kujala, Bonita Boyd, Leone Buyse, Carol Wincenc, Anne Diener-Giles, Richard Breitstein"
Julie Wunderle,violin,Utah Symphony,2012,Indiana University,"Mimi Zweig, Alexander Kerr"
Juliette Kang,violin,The Philadelphia Orchestra,2005,"Curtis Institute of Music, The Juilliard School","Jascha Brodsky, Dorothy Delay, Robert Mann"
Jun Iwasaki,violin,Kansas City Symphony,2022,"Cleveland Institute Of Music’S Concertmaster Academy, Blair School of Music",
Jun Märkl,conductor,Oregon Symphony,,Tanglewood,"Leonard Bernstein, Seiji Ozawa"
Jun-Ching Lin,violin,Atlanta Symphony Orchestra,1988,"Curtis Institute of Music, Cleveland Institute of Music, Emory University, Georgia Tech University, Meadowmount, Encore School For Strings, Franklin Pond Chamber Music","Sara Scriven, Roman Totenberg, Robert Koff, Ivan Galamian, Jascha Brodsky, David Cerone"
Jung Eun Kang,violin,Los Angeles Philharmonic,2022,,
Jung-Eun (Jenny) Ahn,violin,Boston Symphony Orchestra,2022,"Sunhwa Arts School, Colburn School, New England Conservatory of Music","Paul Biss, Min Park, Yuki Mori, Robert Lipsett, Pinchas Zukerman"
Junghyun Ahn,viola,Oregon Symphony,,,
Jungsu Lee,double bass,Atlanta Symphony Orchestra,,"Seoul National University, Colburn School",
Justin Bartels,trumpet,Colorado Symphony,2008,"Indiana University, University Of Alabama, University of Cincinnati College-Conservatory of Music, Pelham High School","Marie Speziale, John Rommel, Ed Cord, Alan Siebert, Michael B. Johnson, Joe Ardovino, James H. Duren"
Justin Bruns,violin,Atlanta Symphony Orchestra,2006,"University of Michigan, Rice University",
Justin Cummings,bassoon,San Francisco Symphony,,"Hochschule für Musik Freiburg, State University of Music and Performing Arts Stuttgart","Udo Weigand, Anne-Sophie Mutter, Dejan Mihailović"
Justin Ochoa,percussion,Kansas City Symphony,,"Interlochen Arts Academy, University of Texas, Colburn School","Ted Atkatz, Thomas Burritt, Matthew Howard, James Babor, Joe Pereira"
Justin Park,cello,Oregon Symphony,,,
Justin Woo,violin,Los Angeles Philharmonic,2019,"Cleveland Institute of Music, Usc Thornton School Of Music","Paul Kantor, Ivan Zenaty, Bing Wang, Simon James"
Játtik Clark,"tuba, euphonium",Oregon Symphony,1999,"University of South Carolina, University of Cincinnati College-Conservatory of Music, Portland State University, Lewis And Clark College, Reed College, University Of Portland, Mt. Hood Community College, University of Oregon","Timothy J. Northcut, Ronald Davis, Gene Pokorny, Floyd Cooley, James Jenkins, Michael Grose, Steve Norrell, Michael Mulcahy"
KT Somero,clarinet,Los Angeles Philharmonic,2020,"University of California, Los Angeles, DePaul University","Gary Gray, John Bruce Yeh"
Kaden Henderson,double bass,Oregon Symphony,,,
Kaelan Decman,double bass,Los Angeles Philharmonic,2022,"Indiana University, University of Southern California","Jonathan Richards, David Benoit, Bruce Bransby, David Allen Moore"
Kai Rocke,bassoon,Oregon Symphony,,"New England Conservatory of Music, Rice University","Benjamin Kamins, Gregg Henegar, Sue Heineman, Lewis Lipnick"
Kamalia Freyling,clarinet,Rochester Philharmonic Orchestra,2019,"The Juilliard School, Eastman School of Music","Jon Manasse, Frank Renk, Robert Carter"
Kaori Yoshida,violin,Dallas Symphony Orchestra,2006,"Toho Gakuen School of Music, Yale University","Koichiro Harada, Erick Friedman, members of the Tokyo Quartet, David Arben, Yoko Takebe"
Kara Kirkendoll Welch,flute,Dallas Symphony Orchestra,2000,"University Of Cincinnati, College Conservatory Of Music, Southern Methodist University Meadows School Of The Arts","Dr. Bradley Garner, Jean Larson Garver, Claire Johnson"
Karen (Whitson) Kinzie,violin,Colorado Symphony,1993,Indiana University,"James Buswell, Nelli Schkolnikova"
Karen Basrak,cello,Chicago Symphony Orchestra,2012,University of Southern California,"""Adele ODwyer"", Gilda Barston, Richard Hirschl, Eleonore Schoenfeld"
Karen Freer,cello,Atlanta Symphony Orchestra,1998,"Indiana University, Eastman School of Music","Eleonore Schoenfeld, Janos Starker, Paul Katz, David Finckel"
Karen Schnackenberg,violin,Dallas Symphony Orchestra,1992,"University of Oklahoma, Meadowmount School Of Music",
Karen Stiles,violin,Austin Symphony Orchestra,1991,"Oberlin Conservatory, Indiana University, New England Conservatory of Music","Stephen Clapp, Gregory Fulkerson, James Buswell, Stanley Ritchie"
Karen Wagner,oboe,Oregon Symphony,1999,"State University Of New York At Buffalo, University of Southern California","Allan Vogel, Ronald Richards, John de Lancie"
Karen Wyatt,violin,Utah Symphony,2013,Indiana University,"Paul Biss, Pavel Pekarsky, Alexander Kerr, Jennifer Ross"
Kari Kettering,cello,Dallas Symphony Orchestra,2003,"St. Olaf College, Indiana University",Tsuyoshi Tsutsumi
Kari Sundström,trombone,Minnesota Orchestra,1996,"The Juilliard School, Tampere Conservatory",Per Brevig
Karin Brown,viola,Baltimore Symphony Orchestra,,"Oberlin Conservatory, The Juilliard School","Cynthia Phelps, Roland Vamos, Almita Vamos, Lynne Ramsey, Samuel Rhodes, Zoya Leybin"
